run_id,sweep_group,sweep_var,sweep_value,variant_mode,secondary_variant_weight,translation_ratio,rerank_alpha,weight_vec,weight_bm25,rerank_candidates,exit_code,duration_sec,questions_expected,retrieval_blocks,questions,avg_base_top1_score,avg_rerank_top1_score,avg_rerank_margin_top1_top2,unique_rerank_top1_chunks,hit_at_1_count,hit_at_1_rate,hit_at_5_count,hit_at_5_rate,hit_at_8_count,hit_at_8_rate,hit_at_dynamic_k_count,hit_at_dynamic_k_rate,avg_dynamic_k
bm25_ratio__r0p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,10,0,107.3,36,36,36,0.0177,0.5622,0.3808,16,31,0.8611,36,1.0,36,1.0,36,1.0,2.7222
bm25_ratio__r0p00__tr0p50__ra0p50__rc20,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,20,0,84.093,36,36,36,0.0177,0.567,0.371,16,30,0.8333,36,1.0,36,1.0,36,1.0,3.8611
bm25_ratio__r0p00__tr0p50__ra0p50__rc30,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,30,0,111.774,36,36,36,0.0177,0.567,0.36,16,30,0.8333,35,0.9722,36,1.0,36,1.0,4.2778
bm25_ratio__r0p00__tr0p50__ra0p50__rc40,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,40,0,135.15,36,36,36,0.0177,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5278
bm25_ratio__r0p10__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.1,mapped_current,0.5,0.5,0.5,0.9,0.1,10,0,54.132,36,36,36,0.0169,0.5622,0.3808,16,31,0.8611,36,1.0,36,1.0,36,1.0,2.7222
bm25_ratio__r0p10__tr0p50__ra0p50__rc20,bm25_ratio,bm25_ratio,0.1,mapped_current,0.5,0.5,0.5,0.9,0.1,20,0,83.264,36,36,36,0.0172,0.567,0.371,16,30,0.8333,36,1.0,36,1.0,36,1.0,3.8611
bm25_ratio__r0p10__tr0p50__ra0p50__rc30,bm25_ratio,bm25_ratio,0.1,mapped_current,0.5,0.5,0.5,0.9,0.1,30,0,111.599,36,36,36,0.0173,0.567,0.36,16,30,0.8333,35,0.9722,36,1.0,36,1.0,4.2778
bm25_ratio__r0p10__tr0p50__ra0p50__rc40,bm25_ratio,bm25_ratio,0.1,mapped_current,0.5,0.5,0.5,0.9,0.1,40,0,135.559,36,36,36,0.0173,0.5671,0.3508,16,30,0.8333,34,0.9444,36,1.0,36,1.0,4.5278
bm25_ratio__r0p25__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.25,mapped_current,0.5,0.5,0.5,0.75,0.25,10,0,54.104,36,36,36,0.0166,0.5622,0.3808,16,31,0.8611,36,1.0,36,1.0,36,1.0,2.6944
bm25_ratio__r0p25__tr0p50__ra0p50__rc20,bm25_ratio,bm25_ratio,0.25,mapped_current,0.5,0.5,0.5,0.75,0.25,20,0,82.51,36,36,36,0.0169,0.567,0.371,16,30,0.8333,36,1.0,36,1.0,36,1.0,3.8333
