run_id,sweep_group,sweep_var,sweep_value,variant_mode,secondary_variant_weight,translation_ratio,rerank_alpha,weight_vec,weight_bm25,q_id,lang,question,gold_chunk_ids,gold_chunk,variants,base_top1_score,base_top1_chunk_type,base_top1_preview,rerank_top1_score,rerank_top1_chunk_type,rerank_top1_preview,rerank_margin_top1_top2,top1_matched_chunk_ids,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_6,hit_at_7,hit_at_8,dynamic_k,dynamic_ratio,hit_at_dynamic_k,dynamic_by_ratio
bm25_ratio__r0p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,1,en,who is m2 head? can share email pls?,9,PARCOURS IA > Responsable de master,who is m2 head? can share email pls? || who is m2 head? can share courriel pls?,0.0246,staff,[Context: PARCOURS IA > Responsable de master:] ## Responsable de master: - responsable M1 : Chuan Xu (Chuan.XU@univ-cotedazur.fr) - responsable M2 : Christopher Leturc (Christopher.LETURC@univ-cotedazur.fr) - responsabl...,0.5929,staff,[Context: PARCOURS IA > Responsable de master:] ## Responsable de master: - responsable M1 : Chuan Xu (Chuan.XU@univ-cotedazur.fr) - responsable M2 : Christopher Leturc (Christopher.LETURC@univ-cotedazur.fr) - responsabl...,0.5875,9,1,1,1,1,1,1,1,1,1,0.1000,1,"{""0.1000"": {""k"": 1, ""hit"": 1}, ""0.2000"": {""k"": 1, ""hit"": 1}, ""0.3000"": {""k"": 1, ""hit"": 1}, ""0.4000"": {""k"": 1, ""hit"": 1}, ""0.5000"": {""k"": 1, ""hit"": 1}, ""0.6000"": {""k"": 1, ""hit"": 1}, ""0.7000"": {""k"": 1, ""hit"": 1}, ""0.8000"": {""k"": 1, ""hit"": 1}, ""0.9000"": {""k"": 1, ""hit"": 1}}"
bm25_ratio__r0p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,2,en,assistant mail? can you give it?,9,PARCOURS IA > Responsable de master,assistant mail? can you give it?,0.0164,staff,[Context: MASTER IA Information] # MASTER IA Information Created: 11 mars 2026,0.3301,staff,[Context: PARCOURS IA > Responsable de master:] ## Responsable de master: - responsable M1 : Chuan Xu (Chuan.XU@univ-cotedazur.fr) - responsable M2 : Christopher Leturc (Christopher.LETURC@univ-cotedazur.fr) - responsabl...,0.2717,9,1,1,1,1,1,1,1,1,3,0.1000,1,"{""0.1000"": {""k"": 3, ""hit"": 1}, ""0.2000"": {""k"": 1, ""hit"": 1}, ""0.3000"": {""k"": 1, ""hit"": 1}, ""0.4000"": {""k"": 1, ""hit"": 1}, ""0.5000"": {""k"": 1, ""hit"": 1}, ""0.6000"": {""k"": 1, ""hit"": 1}, ""0.7000"": {""k"": 1, ""hit"": 1}, ""0.8000"": {""k"": 1, ""hit"": 1}, ""0.9000"": {""k"": 1, ""hit"": 1}}"
bm25_ratio__r0p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,3,en,alternnce contact email for m1?,9,PARCOURS IA > Responsable de master,alternnce contact email for m1? || alternnce contact courriel for m1?,0.0246,staff,[Context: PARCOURS IA > Responsable de master:] ## Responsable de master: - responsable M1 : Chuan Xu (Chuan.XU@univ-cotedazur.fr) - responsable M2 : Christopher Leturc (Christopher.LETURC@univ-cotedazur.fr) - responsabl...,0.6015,staff,[Context: PARCOURS IA > Responsable de master:] ## Responsable de master: - responsable M1 : Chuan Xu (Chuan.XU@univ-cotedazur.fr) - responsable M2 : Christopher Leturc (Christopher.LETURC@univ-cotedazur.fr) - responsabl...,0.2554,9,1,1,1,1,1,1,1,1,5,0.1000,1,"{""0.1000"": {""k"": 5, ""hit"": 1}, ""0.2000"": {""k"": 3, ""hit"": 1}, ""0.3000"": {""k"": 2, ""hit"": 1}, ""0.4000"": {""k"": 2, ""hit"": 1}, ""0.5000"": {""k"": 2, ""hit"": 1}, ""0.6000"": {""k"": 1, ""hit"": 1}, ""0.7000"": {""k"": 1, ""hit"": 1}, ""0.8000"": {""k"": 1, ""hit"": 1}, ""0.9000"": {""k"": 1, ""hit"": 1}}"
bm25_ratio__r0p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,4,en,internship how many month exactly?,8,"PARCOURS IA > Stage : oui, 4 a 6 mois",internship how many month exactly? || stage how many month exactly?,0.0246,general,"[Context: PARCOURS IA > Stage : oui, 4 à 6 mois] ## Stage : oui, 4 à 6 mois",0.0267,general,"[Context: PARCOURS IA > Stage : oui, 4 à 6 mois] ## Stage : oui, 4 à 6 mois",0.0232,8,1,1,1,1,1,1,1,1,2,0.1000,1,"{""0.1000"": {""k"": 2, ""hit"": 1}, ""0.2000"": {""k"": 1, ""hit"": 1}, ""0.3000"": {""k"": 1, ""hit"": 1}, ""0.4000"": {""k"": 1, ""hit"": 1}, ""0.5000"": {""k"": 1, ""hit"": 1}, ""0.6000"": {""k"": 1, ""hit"": 1}, ""0.7000"": {""k"": 1, ""hit"": 1}, ""0.8000"": {""k"": 1, ""hit"": 1}, ""0.9000"": {""k"": 1, ""hit"": 1}}"
bm25_ratio__r0p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,5,en,neural l p course ects how many?,13,Semestre 1 > UE Neural Language Processing,neural l p course ects how many?,0.0164,course,[Context: Cours Programme 2026/2027 > Semestre 1 > **UE Neural Language Processing** (EN) - 3 ECTS] ### **UE Neural Language Processing** (EN) - 3 ECTS - Lecteur: Mme. Ollagnier - This course offers a modern introduction...,0.8855,course,[Context: Cours Programme 2026/2027 > Semestre 1 > **UE Neural Language Processing** (EN) - 3 ECTS] ### **UE Neural Language Processing** (EN) - 3 ECTS - Lecteur: Mme. Ollagnier - This course offers a modern introduction...,0.2593,13,1,1,1,1,1,1,1,1,5,0.1000,1,"{""0.1000"": {""k"": 5, ""hit"": 1}, ""0.2000"": {""k"": 4, ""hit"": 1}, ""0.3000"": {""k"": 4, ""hit"": 1}, ""0.4000"": {""k"": 4, ""hit"": 1}, ""0.5000"": {""k"": 3, ""hit"": 1}, ""0.6000"": {""k"": 3, ""hit"": 1}, ""0.7000"": {""k"": 2, ""hit"": 1}, ""0.8000"": {""k"": 1, ""hit"": 1}, ""0.9000"": {""k"": 1, ""hit"": 1}}"
bm25_ratio__r0p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,6,en,ai game prog teacher in s1?,10,Semestre 1 > UE AI Game Programming,ai game prog teacher in s1?,0.0164,course,[Context: Cours Programme 2026/2027 > Semestre 1 > **UE AI Game Programming (EN)** - 3 ECTS] # Cours Programme 2026/2027 ## Semestre 1 ### **UE AI Game Programming (EN)** - 3 ECTS - Lecteur: M. Regin - This course presen...,0.752,course,[Context: Cours Programme 2026/2027 > Semestre 1 > **UE AI Game Programming (EN)** - 3 ECTS] # Cours Programme 2026/2027 ## Semestre 1 ### **UE AI Game Programming (EN)** - 3 ECTS - Lecteur: M. Regin - This course presen...,0.7495,10,1,1,1,1,1,1,1,1,1,0.1000,1,"{""0.1000"": {""k"": 1, ""hit"": 1}, ""0.2000"": {""k"": 1, ""hit"": 1}, ""0.3000"": {""k"": 1, ""hit"": 1}, ""0.4000"": {""k"": 1, ""hit"": 1}, ""0.5000"": {""k"": 1, ""hit"": 1}, ""0.6000"": {""k"": 1, ""hit"": 1}, ""0.7000"": {""k"": 1, ""hit"": 1}, ""0.8000"": {""k"": 1, ""hit"": 1}, ""0.9000"": {""k"": 1, ""hit"": 1}}"
bm25_ratio__r0p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,7,en,regin teaches which 2 courses in total?,10|29,Semestre 1/2 courses taught by M. Regin,regin teaches which 2 courses in total?,0.0164,course,[Context: Cours Programme 2026/2027 > Semestre 1 > **UE AI Game Programming (EN)** - 3 ECTS] # Cours Programme 2026/2027 ## Semestre 1 ### **UE AI Game Programming (EN)** - 3 ECTS - Lecteur: M. Regin - This course presen...,0.9417,course,[Context: Cours Programme 2026/2027 > Semestre 1 > **UE AI Game Programming (EN)** - 3 ECTS] # Cours Programme 2026/2027 ## Semestre 1 ### **UE AI Game Programming (EN)** - 3 ECTS - Lecteur: M. Regin - This course presen...,0.8001,10,1,1,1,1,1,1,1,1,2,0.1000,1,"{""0.1000"": {""k"": 2, ""hit"": 1}, ""0.2000"": {""k"": 1, ""hit"": 0}, ""0.3000"": {""k"": 1, ""hit"": 0}, ""0.4000"": {""k"": 1, ""hit"": 0}, ""0.5000"": {""k"": 1, ""hit"": 0}, ""0.6000"": {""k"": 1, ""hit"": 0}, ""0.7000"": {""k"": 1, ""hit"": 0}, ""0.8000"": {""k"": 1, ""hit"": 0}, ""0.9000"": {""k"": 1, ""hit"": 0}}"
bm25_ratio__r0p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,8,en,"s2 course with belief revision + fuzzy logic, name?",30,Semestre 2 > UE Logic for AI,"s2 course with belief revision + fuzzy logic, name?",0.0164,course,[Context: Cours Programme 2026/2027 > Semestre 2 > **UE Logic for AI** (EN) - 3 ECTS] ### **UE Logic for AI** (EN) - 3 ECTS - Lecteur: M. Tettamanzi - The objective of this course is to provide a general background in Lo...,0.2194,course,[Context: Cours Programme 2026/2027 > Semestre 2 > **UE Logic for AI** (EN) - 3 ECTS] ### **UE Logic for AI** (EN) - 3 ECTS - Lecteur: M. Tettamanzi - The objective of this course is to provide a general background in Lo...,0.21,30,1,1,1,1,1,1,1,1,1,0.1000,1,"{""0.1000"": {""k"": 1, ""hit"": 1}, ""0.2000"": {""k"": 1, ""hit"": 1}, ""0.3000"": {""k"": 1, ""hit"": 1}, ""0.4000"": {""k"": 1, ""hit"": 1}, ""0.5000"": {""k"": 1, ""hit"": 1}, ""0.6000"": {""k"": 1, ""hit"": 1}, ""0.7000"": {""k"": 1, ""hit"": 1}, ""0.8000"": {""k"": 1, ""hit"": 1}, ""0.9000"": {""k"": 1, ""hit"": 1}}"
bm25_ratio__r0p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,9,en,s2 combinatorial optimization teacher who?,29,Semestre 2 > UE Combinatorial Optimization,s2 combinatorial optimization teacher who?,0.0164,course,"[Context: Cours Programme 2026/2027 > Semestre 2 > **UE Combinatorial Optimization** (EN) - 3 ECTS] ### **UE Combinatorial Optimization** (EN) - 3 ECTS - Lecteur: M. Regin - This course presents greedy algorithms, decisi...",0.8283,course,"[Context: Cours Programme 2026/2027 > Semestre 2 > **UE Combinatorial Optimization** (EN) - 3 ECTS] ### **UE Combinatorial Optimization** (EN) - 3 ECTS - Lecteur: M. Regin - This course presents greedy algorithms, decisi...",0.7725,29,1,1,1,1,1,1,1,1,1,0.1000,1,"{""0.1000"": {""k"": 1, ""hit"": 1}, ""0.2000"": {""k"": 1, ""hit"": 1}, ""0.3000"": {""k"": 1, ""hit"": 1}, ""0.4000"": {""k"": 1, ""hit"": 1}, ""0.5000"": {""k"": 1, ""hit"": 1}, ""0.6000"": {""k"": 1, ""hit"": 1}, ""0.7000"": {""k"": 1, ""hit"": 1}, ""0.8000"": {""k"": 1, ""hit"": 1}, ""0.9000"": {""k"": 1, ""hit"": 1}}"
bm25_ratio__r0p00__tr0p50__ra0p50__rc10,bm25_ratio,bm25_ratio,0.0,mapped_current,0.5,0.5,0.5,1.0,0.0,10,en,which s1 course has kripke + ctl/ltl exactly?,12,Semestre 1 > UE Model Checking for AI,which s1 course has kripke + ctl/ltl exactly?,0.0164,course,[Context: Cours Programme 2026/2027 > Semestre 1 > **UE Neural Language Processing** (EN) - 3 ECTS] ### **UE Neural Language Processing** (EN) - 3 ECTS - Lecteur: Mme. Ollagnier - This course offers a modern introduction...,0.0092,course,[Context: Cours Programme 2026/2027 > Semestre 1 > **UE Model Checking for AI** (EN) - 3 ECTS] ### **UE Model Checking for AI** (EN) - 3 ECTS - Lecteur: Mme. De Maria - This course covers methods and tools for automatica...,0.0091,12,1,1,1,1,1,1,1,1,1,0.1000,1,"{""0.1000"": {""k"": 1, ""hit"": 1}, ""0.2000"": {""k"": 1, ""hit"": 1}, ""0.3000"": {""k"": 1, ""hit"": 1}, ""0.4000"": {""k"": 1, ""hit"": 1}, ""0.5000"": {""k"": 1, ""hit"": 1}, ""0.6000"": {""k"": 1, ""hit"": 1}, ""0.7000"": {""k"": 1, ""hit"": 1}, ""0.8000"": {""k"": 1, ""hit"": 1}, ""0.9000"": {""k"": 1, ""hit"": 1}}"
